time,quat_w,quat_x,quat_y,quat_z,x,y,z,Aileron,Elevator,Mode,Rudder,Throttle,phi_deg,theta_deg,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,s,n,u_along_track,alpha_deg,gamma_deg,seg_id
15.40850848,0.139033412,-0.010314763,0.052856583,0.988822276,6.007836914,3.017916992,3.489875488,0.014,0.21,-1.0,0.0,0.5,5.838570562721098,2.011299946906014,6.00782742731237,3.0180555068205215,3.4894869149230865,-4.467405672803153,1.3996439612437854,0.04385135539798286,4.681529308211152,4.681734679049019,162.60415893087338,1.7104472268832591,0.45675914805624074,4.878112049673149,2.002218973797844,0.009080973108170097,1
15.41849741,0.137736959,-0.003886834,0.050196403,0.98918843,5.963184082,3.032117676,3.489942383,0.014,0.21,-1.0,0.0,0.5,5.6389495018002025,1.2329526283041181,5.963075856505842,3.0320432616247177,3.4899388533683084,-4.501730108600908,1.4040986263981317,0.04798323932472751,4.715619463372449,4.715863580999047,162.6771952294114,1.7562216132128068,0.4466070088596238,4.566431149537692,1.2224097848636633,0.010542843440454827,1
15.42856235,0.138676044,-0.003075584,0.048973551,0.98912137,5.918196777,3.046167236,3.490333496,0.014,0.21,-1.0,0.0,0.5,5.511591527893238,1.1269183999704604,5.918296437790224,3.045979497158517,3.49045285023311,-4.538675450718287,1.4087522086254185,0.05424342959539164,4.752279203946233,4.752588766337154,162.75626346926722,1.8020193896885068,0.43650855990723936,4.5501783916351,1.1148855685394596,0.012032831431000717,1
15.43863436,0.138140246,-0.003623604,0.044533333,0.989404327,5.873416016,3.05963623,3.491030518,0.014,0.21,-1.0,0.0,0.5,4.998999006424495,1.1158548581584908,5.873480613163186,3.059855271669007,3.491041487536141,-4.538336696081656,1.4025504337201877,0.061625836709666884,4.750120807530061,4.7505205430437,162.8264954735172,1.84784832726797,0.42647343481558897,4.350050207019635,1.1025791401296092,0.013275718028881698,1
15.44973677,0.138637058,-0.002567427,0.045056779,0.989314448,5.828660156,3.07371167,3.491526367,0.014,0.21,-1.0,0.0,0.5,5.074582256517651,1.0069142030270077,5.828641713067614,3.073677970398611,3.491674252181828,-4.493864409163719,1.3827767177551853,0.06992063195927783,4.701796335350372,4.702316203094787,162.8966979112399,1.8936957679943411,0.41649314720490926,4.60437044149181,0.9931828001043368,0.013731402922670928,1
15.45891321,0.138744136,-0.001255636,0.045307885,0.989290491,5.783847656,3.087447998,3.492423096,0.014,0.21,-1.0,0.0,0.5,5.123741716584651,0.8627227957966991,5.783795124421927,3.0874804657878885,3.492301753909101,-4.497852127981196,1.377417840060256,0.0785117509748866,4.704035891795601,4.70469103835123,162.97336768728033,1.939549160737851,0.40653364089003174,4.861981052473126,0.8458738965365553,0.016848899260143806,1
15.46862922,0.139534647,-0.001127125,0.043688765,0.989252292,5.738936035,3.101198242,3.49340918,0.014,0.21,-1.0,0.0,0.5,4.941170443415922,0.8263606925642243,5.738938812298382,3.101146140547795,3.4932370964452306,-4.533035468976438,1.3829746929970492,0.09210762429732276,4.73930686540434,4.740201828922732,163.03368168622777,1.9854006686137389,0.3967112873291083,4.673718253041571,0.8052642386846677,0.021096453879556568,1
15.47854047,0.140487788,-0.001575775,0.040325776,0.98925959,5.69403418,3.114838867,3.494101074,0.014,0.21,-1.0,0.0,0.5,4.551253515723517,0.8278530726887402,5.6940694293077065,3.114791919384625,3.4942381919510583,-4.550916208884253,1.3831022914043114,0.107216582933994,4.7564493362983775,4.75765758377264,163.09506435837014,2.03126351753731,0.3869098640323988,4.59105409240162,0.8060143986680504,0.02183867402068983,1
15.48861796,0.140329376,-2.87904e-05,0.040087636,0.989292999,5.649208008,3.128424561,3.495095947,0.014,0.21,-1.0,0.0,0.5,4.549125576987116,0.647909342224528,5.649169829650363,3.128454374277399,3.495241292923087,-4.545450504498259,1.3742052601676766,0.11531462685321134,4.748637740017235,4.750037668175094,163.17859826743745,2.077157885437229,0.37709438043994725,4.569166345158479,0.6237663709811943,0.024142971243333748,1
15.49862919,0.141034472,0.000109923,0.038868624,0.989241379,5.604241699,3.142006836,3.496284424,0.014,0.21,-1.0,0.0,0.5,4.412488532418773,0.6157209410122024,5.604259134002343,3.1419622870093336,3.496453248671338,-4.442798517998018,1.335144097024678,0.11797682512724707,4.6390805588333155,4.64058045535387,163.27349349425887,2.1230502370196938,0.36743382371717903,4.554125986747096,0.5886246042879257,0.027096336724276655,1
15.50877692,0.142610691,-0.005318264,0.038659253,0.989009287,5.55936084,3.155253174,3.498230225,0.014,0.21,-1.0,0.0,0.5,4.299454994149707,1.234594442040817,5.559333318678336,3.1554517548671424,3.4977301718415017,-4.406944202372502,1.3163661546476297,0.11736790860774572,4.599345285573415,4.600842562172428,163.36897231119855,2.168956093858178,0.3577929247166459,4.558019296407835,1.202171011120026,0.03242343092079106,1
15.51873871,0.141554399,0.002263833,0.037341458,0.989223348,5.51432959,3.168980225,3.498907715,0.014,0.21,-1.0,0.0,0.5,4.273664940214127,0.34909517072760593,5.514568930909103,3.168895005048961,3.499418100347329,-4.4666469144130145,1.3282168141768107,0.12598041329380452,4.659945768300024,4.661648380994751,163.43945472880378,2.2146971922086696,0.3481844227784783,4.568536200970186,0.3210985596918815,0.02799661103572443,1
15.52893667,0.141817927,0.002953402,0.038262422,0.989148592,5.469529785,3.18237793,3.500244141,0.014,0.21,-1.0,0.0,0.5,4.389315292516719,0.28704663300649985,5.469186842244769,3.1822414906387047,3.5002895128904523,-4.4408612471558895,1.3181092212813352,0.14460970556381098,4.632349353807185,4.63460597059352,163.4683808995614,2.261045592375986,0.33872458921412707,4.410747585610352,0.26414467938200853,0.022901953624491343,1
15.53970299,0.142364994,0.003772834,0.035048959,0.989186306,5.42455127,3.195383057,3.502442139,0.024,0.222,-1.0,0.0,0.5,4.037787144543135,0.14412299924177868,5.424182836904442,3.195485923135207,3.5015543786713392,-4.353569239055606,1.2924477439869881,0.15918310457566603,4.541363923997752,4.544152896962272,163.46538134521697,2.30700863174053,0.32933446135558486,4.401124535201959,0.11396456622591859,0.030158433015860093,1
15.54981152,0.142300234,0.003731571,0.037504383,0.989105725,5.379542969,3.208845703,3.503540527,0.024,0.222,-1.0,0.0,0.5,4.315817529926399,0.1886139496556911,5.379400460128218,3.208721505634042,3.503041595550126,-4.306292768939267,1.2770191082305562,0.16989830892850635,4.491651724544612,4.494863807723361,163.48242345496195,2.3527500882595422,0.31993440447647026,4.826656638339102,0.15267672598808363,0.035937223667607446,1
15.5587517,0.142591102,0.004314163,0.037226637,0.989071956,5.334654785,3.221917969,3.505113037,0.024,0.222,-1.0,0.0,0.5,4.293760370886836,0.11930933000462038,5.334820862153859,3.2219175299627136,3.504801789060616,-4.456432502669317,1.3141187649854231,0.18076668427389608,4.646148811578717,4.649664006514633,163.57019567484852,2.3982861465684664,0.31055661116863,4.614919650135121,0.06963166922166317,0.049677660782957204,1
15.56884199,0.153379493,-0.006499331,0.001970821,0.988144024,5.287787109,3.23477124,3.502961182,0.024,0.222,-1.0,0.0,0.5,0.10893961101931625,0.7706008823607639,5.294578888575771,3.2339621906014084,3.5074877997529237,-4.787503200870685,1.400675544269197,0.19574342982177623,4.988193949583443,4.992033089732003,163.69215450041702,2.4394027342759177,0.30195914045589134,4.121711730255996,0.717871007171039,0.05272987518972486,1
15.57902199,0.131400728,0.016290173,0.055251883,0.989654341,5.247681152,3.247961914,3.510818359,0.024,0.222,-1.0,0.0,0.5,6.5263110336245225,-1.0155065793083347,5.253026689158521,3.2462199883776326,3.509202598557119,-4.796587033782013,1.3934376135467947,0.1899492773486883,4.994888943259172,4.998499403166715,163.80109868212105,2.481842880917732,0.29326012696268877,4.5498586932451985,-1.051485914140898,0.035979334832563464,1
15.58944597,0.129308463,0.015747485,0.061028015,0.989599367,5.202305176,3.261330566,3.512187744,0.024,0.222,-1.0,0.0,0.5,7.173474673981478,-0.8815031233076667,5.202581920776237,3.2607510278111986,3.5108598366037396,-4.73365386327893,1.3597938898398936,0.16770743659243453,4.925090691569186,4.927945221334126,163.97270855627374,2.5333360158844904,0.2830482311809458,5.354613280713352,-0.9123044461292641,0.030801322821597425,1
15.59957318,0.128862543,0.01782102,0.062583336,0.989525234,5.157651855,3.274021729,3.514487061,0.024,0.222,-1.0,0.0,0.5,7.381306059409875,-1.096673930171504,5.145440177055956,3.2769580693962803,3.5125896521701727,-4.783042358009144,1.3553339374001043,0.1454771911131575,4.9713604053999285,4.973488503406067,164.17926913294613,2.5916438948955793,0.27173282939561727,5.9726312270183115,-1.1253745665044292,0.028700636332925137,1
