time,Throttle,Aileron,Elevator,Rudder,Mode,x,y,z,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,quat_x,quat_y,quat_z,quat_w,phi_deg,theta_deg
133.9802591,0.366,-0.032,-0.0,0.0,-1.0,-5.306834961,-4.30513916,3.955679199,-5.306573147627055,-4.3050697182867275,3.9559769065547887,-0.3259353860118741,-3.3082579604296964,-2.2086842367060417,3.3242750500825236,3.9911264908638153,-95.62672240729303,-0.003876063,0.349920474,-0.730013122,0.587044698,-34.318762078917786,23.902329970522636
133.9902603,0.366,-0.032,-0.0,0.0,-1.0,-5.309751953,-4.337863281,3.933820068,-5.309664810286728,-4.337822888079268,3.9341499682144625,-0.29734924175048066,-3.33268182574908,-2.209665914206657,3.345920609226675,4.009714226183027,-95.0985555499599,0.001402353,0.348473102,-0.728210201,0.590147802,-33.74846619078653,24.415053869565117
134.0000568,0.366,-0.032,-0.0,0.0,-1.0,-5.312445801,-4.370967773,3.912051758,-5.312494734738943,-4.37104762485083,3.912205155412597,-0.2682959861012764,-3.3381058595709776,-2.197922888727588,3.348870476124771,4.005720720501215,-94.59519704362722,0.00799888,0.347216302,-0.725895332,0.59367737,-33.09801571825859,25.079894329822878
134.0101166,0.366,-0.118,-0.022,0.0,1.0,-5.314962402,-4.404700684,3.889845215,-5.315012266072275,-4.404708036128219,3.890199137892784,-0.24352301306803453,-3.3821996998385275,-2.2144157158009907,3.390955362059719,4.049964843040983,-94.11826781234497,0.013302005,0.344447302,-0.724660655,0.596695945,-32.374975748843326,25.489107262745822
134.0201367,0.366,-0.118,-0.022,0.0,1.0,-5.317132324,-4.43890332,3.868245605,-5.3172078620629515,-4.43884830494407,3.86800829386015,-0.21987796078958385,-3.4244069259356724,-2.2348111342788193,3.431458744038341,4.095032346384308,-93.67386499284693,0.019870941,0.336159848,-0.724017036,0.601997522,-30.905112925085074,25.690431569985144
134.0312861,0.366,-0.118,-0.022,0.0,1.0,-5.319251465,-4.473503906,3.846027344,-5.319160081018663,-4.473436053466215,3.845745685643366,-0.20072735202497424,-3.4865752959868352,-2.2761275300293504,3.4923486029370903,4.1686035188530655,-93.29496652892765,0.02549939,0.330509145,-0.722765051,0.606402657,-29.799718724623993,25.95743909338623
134.0410638,0.366,-0.118,-0.022,0.0,1.0,-5.321272949,-4.508462891,3.822757568,-5.321174970813535,-4.508485693186495,3.8227776868974455,-0.18685324693174948,-3.545882067857602,-2.3207243334235685,3.5508018495887717,4.241928241588642,-93.01645941459687,0.028009606,0.331107879,-0.719934729,0.60932508,-29.5994585671457,26.348815688269003
134.0509308,0.366,-0.118,-0.022,0.0,1.0,-5.322692871,-4.543905762,3.800076172,-5.3230204007762385,-4.544008866648032,3.799422686480196,-0.17066203700527996,-3.5986640487898316,-2.3588299082397017,3.6027084904176214,4.306226538738218,-92.71514477465989,0.036841258,0.330117787,-0.717646514,0.612085346,-28.81555140900209,27.193595830079122
134.0598425,0.366,-0.118,-0.022,0.0,1.0,-5.324475098,-4.580070801,3.775576904,-5.324671587132883,-4.580005058214467,3.7757560728181914,-0.153510968752264,-3.6879450313229505,-2.415045168304546,3.691138600972185,4.41100298532409,-92.38356482268877,0.036003651,0.328000755,-0.715275969,0.616035346,-28.508044656593576,27.105168037249104
134.07013,0.366,-0.118,-0.022,0.0,1.0,-5.325719238,-4.616575684,3.75236377,-5.326096318923092,-4.616491700428919,3.751810964641035,-0.13074983661207307,-3.78257792084509,-2.4659714961628305,3.7848370172358607,4.517300816519351,-91.97971659686033,0.039930742,0.324575188,-0.713149402,0.620060017,-27.74019465881668,27.352613389043235
