# t V alpha gamma Q delta_T delta_e
10.31250000 35.33436549 -0.00687073 5.73898025 0.47697667 5.25370673 0.01581265
10.37500000 35.49571075 -0.01049356 5.76982352 0.40688248 5.31216126 0.01886692
10.43750000 35.64503737 -0.01374771 5.79622841 0.34535820 5.36620333 0.02146152
10.50000000 35.78368402 -0.01654900 5.81870569 0.29404463 5.41490658 0.02353322
10.56250000 35.91273103 -0.01882508 5.83787110 0.25432500 5.45748964 0.02503154
10.62500000 36.03295002 -0.02051707 5.85442972 0.22728989 5.49333141 0.02591999
10.68750000 36.14475545 -0.02158082 5.86915789 0.21370857 5.52198246 0.02617691
10.75000000 36.24815931 -0.02198788 5.88288339 0.21400758 5.54317217 0.02579604
10.81250000 36.34273111 -0.02172606 5.89646415 0.22825649 5.55681172 0.02478667
10.87500000 36.42756635 -0.02079970 5.91076602 0.25616139 5.56299257 0.02317339
10.93750000 36.50126717 -0.01922950 5.92664001 0.29706623 5.56198069 0.02099550
11.00000000 36.56193943 -0.01705210 5.94489962 0.34996243 5.55420669 0.01830606
11.06250000 36.60721028 -0.01431912 5.96629863 0.41350692 5.54025202 0.01517061
11.12500000 36.63427004 -0.01109604 5.99151002 0.48604934 5.52083160 0.01166554
11.18750000 36.63994147 -0.00746058 6.02110647 0.56566849 5.49677351 0.00787624
11.25000000 36.62077812 -0.00350088 6.05554324 0.65021857 5.46899593 0.00389504
11.31250000 36.57319179 0.00068663 6.09514387 0.73738506 5.43848222 -0.00018106
11.37500000 36.49360646 0.00499960 6.14008937 0.82474969 5.40625453 -0.00425275
11.43750000 36.37863346 0.00933230 6.19041165 0.90986330 5.37334680 -0.00822082
11.50000000 36.22525893 0.01357821 6.24599144 0.99032427 5.34077762 -0.01198860
11.56250000 36.03103182 0.01763272 6.30656121 1.06385945 5.30952372 -0.01546428
11.62500000 35.79423794 0.02139576 6.37171316 1.12840367 5.28049484 -0.01856318
11.68750000 35.51404442 0.02477432 6.44091216 1.18217304 5.25451039 -0.02120980
11.75000000 35.19059955 0.02768481 6.51351317 1.22372765 5.23227864 -0.02333966
11.81250000 34.82507579 0.03005516 6.58878244 1.25201933 5.21437891 -0.02490086
11.87500000 34.41964859 0.03182665 6.66592149 1.26642131 5.20124714 -0.02585536
11.93750000 33.97741015 0.03295536 6.74409278 1.26673816 5.19316530 -0.02617991
12.00000000 33.50222423 0.03341325 6.82244570 1.25319595 5.19025479 0.06139986
12.06250000 33.02525361 -0.01992538 6.87951093 -0.90744190 5.19247406 0.06234339
12.12500000 32.60814424 -0.06377085 6.86491022 -0.81983766 5.19962048 0.06389416
12.18750000 32.21066899 -0.06556296 6.82331850 -0.56937560 5.21133640 0.06601438
12.25000000 31.84499073 -0.06181684 6.78420724 -0.57306649 5.22711927 0.06865239
12.31250000 31.50867300 -0.06281801 6.74664932 -0.65367132 5.24633557 0.07174393
12.37500000 31.20011743 -0.06597613 6.70628522 -0.72546395 5.26823812 0.07521367
12.43750000 30.92048643 -0.06938916 6.66187279 -0.79087510 5.29198648 0.07897706
12.50000000 30.67172111 -0.07288698 6.61333929 -0.85969625 5.31666978 0.08294242
12.56250000 30.45574356 -0.07660178 6.56057408 -0.93248767 5.34133156 0.08701314
12.62500000 30.27444737 -0.08051388 6.50339746 -1.00664853 5.36499582 0.09109002
12.68750000 30.12975654 -0.08452327 6.44170687 -1.07996192 5.38669385 0.09507375
12.75000000 30.02357513 -0.08852781 6.37551824 -1.15076126 5.40549091 0.09886726
12.81250000 29.95768349 -0.09243653 6.30495631 -1.21754171 5.42051237 0.10237812
12.87500000 29.93362680 -0.09616423 6.23024328 -1.27884871 5.43096842 0.10552079
12.93750000 29.95260511 -0.09962937 6.15169246 -1.33331456 5.43617685 0.10821871
13.00000000 30.01536677 -0.10275520 6.06970244 -1.37970046 5.43558330 0.11040614
13.06250000 30.12211141 -0.10547143 5.98474983 -1.41691969 5.42877846 0.11202978
13.12500000 30.27241149 -0.10771563 5.89738042 -1.44405416 5.41551179 0.11305008
13.18750000 30.46516141 -0.10943457 5.80819927 -1.46037157 5.39570140 0.11344217
13.25000000 30.69856084 -0.11058558 5.71785983 -1.46534392 5.36943975 0.11319651
13.31250000 30.97013604 -0.11113808 5.62705186 -1.45866596 5.33699522 0.11231908
13.37500000 31.27679910 -0.11107501 5.53648843 -1.44027248 5.29880922 0.11083126
13.43750000 31.61494156 -0.11039422 5.44689159 -1.41035326 5.25548908 0.10876929
13.50000000 31.98055540 -0.10910941 5.35897710 -1.36936420 5.20779685 0.10618342
13.56250000 32.36937179 -0.10725063 5.27343809 -1.31803337 5.15663410 0.10313664
13.62500000 32.77700725 -0.10486422 5.19092813 -1.25736035 5.10302332 0.09970320
13.68750000 33.19910643 -0.10201204 5.11204389 -1.18860790 5.04808620 0.09596675
13.75000000 33.63147254 -0.09877002 5.03730816 -1.11328489 4.99301925 0.09201832
13.81250000 34.07017839 -0.09522618 4.96715355 -1.03312017 4.93906750 0.08795411
13.87500000 34.51165368 -0.09147807 4.90190779 -0.95002750 4.88749678 0.08387315
