t, V, alpha, gamma, Q, T_cmd, elv_cmd, T_act, elv_act, gust
9.210000000000000853e+00,6.612389134598983809e+00,8.994496165751734995e-02,1.882547105482763189e-03,-6.339010309271636903e-04,1.197472276828312587e+00,-1.059162442130814896e-02,1.197472276828312587e+00,-1.059162442130814896e-02,0.000000000000000000e+00
9.220000000000000639e+00,6.612433535903585735e+00,8.994329467022935121e-02,1.877888090293572398e-03,-6.313009576375942268e-04,1.197395239307684989e+00,-1.059115017911941604e-02,1.197395239307684989e+00,-1.059115017911941604e-02,0.000000000000000000e+00
9.230000000000000426e+00,6.612477571466374826e+00,8.994164165884660500e-02,1.873241039331879649e-03,-6.287131147639610663e-04,1.197318510195498176e+00,-1.059067189354053959e-02,1.197318510195498176e+00,-1.059067189354053959e-02,0.000000000000000000e+00
9.240000000000000213e+00,6.612521243627163869e+00,8.994000253492462349e-02,1.868605919283520145e-03,-6.261374449302462095e-04,1.197242088131199145e+00,-1.059018959595814206e-02,1.197242088131199145e+00,-1.059018959595814206e-02,0.000000000000000000e+00
9.250000000000000000e+00,6.612564554713137532e+00,8.993837720925859647e-02,1.863982698087809486e-03,-6.235738897617492922e-04,1.197165971759232450e+00,-1.058970332364618690e-02,1.197165971759232450e+00,-1.058970332364618690e-02,0.000000000000000000e+00
9.259999999999999787e+00,6.612607507038849697e+00,8.993676559188344688e-02,1.859371344937543876e-03,-6.210223898850878018e-04,1.197090159729044423e+00,-1.058921311976598195e-02,1.197090159729044423e+00,-1.058921311976598195e-02,0.000000000000000000e+00
9.269999999999999574e+00,6.612650102906228788e+00,8.993516759207377531e-02,1.854771830278999917e-03,-6.184828849281970775e-04,1.197014650695073179e+00,-1.058871903336617432e-02,1.197014650695073179e+00,-1.058871903336617432e-02,0.000000000000000000e+00
9.279999999999999361e+00,6.612692344604572448e+00,8.993358311834395713e-02,1.850184125811934815e-03,-6.159553135203304185e-04,1.196939443316759721e+00,-1.058822111938275898e-02,1.196939443316759721e+00,-1.058822111938275898e-02,0.000000000000000000e+00
9.290000000000000924e+00,6.612734234410548417e+00,8.993201207844801759e-02,1.845608204489585305e-03,-6.134396132920584338e-04,1.196864536258543943e+00,-1.058771943863907015e-02,1.196864536258543943e+00,-1.058771943863907015e-02,0.000000000000000000e+00
9.300000000000000711e+00,6.612775774588197208e+00,8.993045437937971509e-02,1.841044040518671765e-03,-6.109357208752707767e-04,1.196789928189861740e+00,-1.058721405784578476e-02,1.196789928189861740e+00,-1.058721405784578476e-02,0.000000000000000000e+00
9.310000000000000497e+00,6.612816967388930323e+00,8.992890992737252731e-02,1.836491609359391496e-03,-6.084435719031737596e-04,1.196715617785147456e+00,-1.058670504960092414e-02,1.196715617785147456e+00,-1.058670504960092414e-02,0.000000000000000000e+00
9.320000000000000284e+00,6.612857815051529364e+00,8.992737862789965120e-02,1.831950887725424144e-03,-6.059631010102919805e-04,1.196641603723836322e+00,-1.058619249238985233e-02,1.196641603723836322e+00,-1.058619249238985233e-02,0.000000000000000000e+00
9.330000000000000071e+00,6.612898319802142488e+00,8.992586038601597942e-02,1.827421853263917718e-03,-6.034942421781578368e-04,1.196567884690503014e+00,-1.058567646891153680e-02,1.196567884690503014e+00,-1.058567646891153680e-02,0.000000000000000000e+00
9.339999999999999858e+00,6.612938483852268234e+00,8.992435512138670373e-02,1.822904470538139242e-03,-6.010369438006385500e-04,1.196494459381679976e+00,-1.058515699284380898e-02,1.196494459381679976e+00,-1.058515699284380898e-02,0.000000000000000000e+00
9.349999999999999645e+00,6.612978309396233989e+00,8.992286276004152201e-02,1.818398698802831722e-03,-5.985911601471795773e-04,1.196421326503138705e+00,-1.058463404965670311e-02,1.196421326503138705e+00,-1.058463404965670311e-02,0.000000000000000000e+00
9.359999999999999432e+00,6.613017798615932641e+00,8.992138322417968233e-02,1.813904501422113980e-03,-5.961568413548470413e-04,1.196348484764357956e+00,-1.058410764570568048e-02,1.196348484764357956e+00,-1.058410764570568048e-02,0.000000000000000000e+00
9.370000000000000995e+00,6.613056953681602401e+00,8.991991643538005397e-02,1.809421842844484603e-03,-5.937339367289356726e-04,1.196275932879652615e+00,-1.058357779237691955e-02,1.196275932879652615e+00,-1.058357779237691955e-02,0.000000000000000000e+00
9.380000000000000782e+00,6.613095776751830357e+00,8.991846231460111361e-02,1.804950688602825412e-03,-5.913223947429705439e-04,1.196203669568166816e+00,-1.058304450608733849e-02,1.196203669568166816e+00,-1.058304450608733849e-02,0.000000000000000000e+00
9.390000000000000568e+00,6.613134269973550694e+00,8.991702078218100080e-02,1.800491005314397777e-03,-5.889221630387043603e-04,1.196131693553879050e+00,-1.058250780828457957e-02,1.196131693553879050e+00,-1.058250780828457957e-02,0.000000000000000000e+00
9.400000000000000355e+00,6.613172435482047362e+00,8.991559175783742086e-02,1.796042760680843699e-03,-5.865331884261191933e-04,1.196060003565595498e+00,-1.058196772544700223e-02,1.196060003565595498e+00,-1.058196772544700223e-02,0.000000000000000000e+00
9.410000000000000142e+00,6.613210275400950522e+00,8.991417516066775584e-02,1.791605923488187114e-03,-5.841554168834263731e-04,1.195988598336957587e+00,-1.058142428908370909e-02,1.195988598336957587e+00,-1.058142428908370909e-02,0.000000000000000000e+00
9.419999999999999929e+00,6.613247791842237433e+00,8.991277090914898129e-02,1.787180463606832803e-03,-5.817887935570658373e-04,1.195917476606439989e+00,-1.058087753573451473e-02,1.195917476606439989e+00,-1.058087753573451473e-02,0.000000000000000000e+00
9.429999999999999716e+00,6.613284986906234231e+00,8.991137892113770791e-02,1.782766351991565967e-03,-5.794332627617067820e-04,1.195846637117347289e+00,-1.058032750696996822e-02,1.195846637117347289e+00,-1.058032750696996822e-02,0.000000000000000000e+00
9.439999999999999503e+00,6.613321862681615926e+00,8.990999911387016763e-02,1.778363560681553738e-03,-5.770887679802473363e-04,1.195776078617814209e+00,-1.057977424939134277e-02,1.195776078617814209e+00,-1.057977424939134277e-02,0.000000000000000000e+00
9.450000000000001066e+00,6.613358421245401964e+00,8.990863140396219977e-02,1.773972062800342579e-03,-5.747552518638141287e-04,1.195705799860813379e+00,-1.057921781463063565e-02,1.195705799860813379e+00,-1.057921781463063565e-02,0.000000000000000000e+00
9.460000000000000853e+00,6.613394664662963329e+00,8.990727570740930652e-02,1.769591832555863055e-03,-5.724326562317642387e-04,1.195635799604143346e+00,-1.057865825935058041e-02,1.195635799604143346e+00,-1.057865825935058041e-02,0.000000000000000000e+00
9.470000000000000639e+00,6.613430594988017219e+00,8.990593193958655582e-02,1.765222845240423978e-03,-5.701209220716821607e-04,1.195566076610436790e+00,-1.057809564524462946e-02,1.195566076610436790e+00,-1.057809564524462946e-02,0.000000000000000000e+00
9.480000000000000426e+00,6.613466214262627041e+00,8.990460001524869238e-02,1.760865077230716093e-03,-5.678199895393820813e-04,1.195496629647161191e+00,-1.057753003903696108e-02,1.195496629647161191e+00,-1.057753003903696108e-02,0.000000000000000000e+00
9.490000000000000213e+00,6.613501524517205965e+00,8.990327984853005439e-02,1.756518505987811210e-03,-5.655297979589070118e-04,1.195427457486613054e+00,-1.057696151248248284e-02,1.195427457486613054e+00,-1.057696151248248284e-02,0.000000000000000000e+00
9.500000000000000000e+00,6.613536527770470741e+00,8.990197135488749158e-02,1.752183108239056862e-03,-5.632502877829484618e-04,1.195358558906723934e+00,-1.057639013286226261e-02,1.195358558906723934e+00,-1.057639013286226261e-02,0.000000000000000000e+00
9.509999999999999787e+00,6.613571226026704331e+00,8.990067446658842054e-02,1.747858845548450188e-03,-5.609814160708436869e-04,1.195289932698200719e+00,-1.057581588762734198e-02,1.195289932698200719e+00,-1.057581588762734198e-02,0.000000000000000000e+00
9.519999999999999574e+00,6.613605621275142177e+00,8.989938911503014829e-02,1.743545680883815249e-03,-5.587231385639381117e-04,1.195221577657517686e+00,-1.057523877107271852e-02,1.195221577657517686e+00,-1.057523877107271852e-02,0.000000000000000000e+00
9.529999999999999361e+00,6.613639715494035620e+00,8.989811522948572275e-02,1.739243579675937585e-03,-5.564754086582857735e-04,1.195153492585205646e+00,-1.057465878977003476e-02,1.195153492585205646e+00,-1.057465878977003476e-02,0.000000000000000000e+00
9.540000000000000924e+00,6.613673510650941445e+00,8.989685273873124216e-02,1.734952508286693442e-03,-5.542381790664803682e-04,1.195085676286428589e+00,-1.057407595455002632e-02,1.195085676286428589e+00,-1.057407595455002632e-02,0.000000000000000000e+00
9.550000000000000711e+00,6.613707008702726320e+00,8.989560157104579952e-02,1.730672434009054329e-03,-5.520114018176567683e-04,1.195018127570975919e+00,-1.057349028050250626e-02,1.195018127570975919e+00,-1.057349028050250626e-02,0.000000000000000000e+00
9.560000000000000497e+00,6.613740211595563245e+00,8.989436165421153813e-02,1.726403325067081378e-03,-5.497950282574885295e-04,1.194950845253270000e+00,-1.057290178697637729e-02,1.194950845253270000e+00,-1.057290178697637729e-02,0.000000000000000000e+00
9.570000000000000284e+00,6.613773121264932442e+00,8.989313291551358220e-02,1.722145150615928379e-03,-5.475890090481894080e-04,1.194883828152361938e+00,-1.057231049757962824e-02,1.194883828152361938e+00,-1.057231049757962824e-02,0.000000000000000000e+00
9.580000000000000071e+00,6.613805739635622238e+00,8.989191528174010626e-02,1.717897880741842218e-03,-5.453932941685133611e-04,1.194817075091933356e+00,-1.057171644017932538e-02,1.194817075091933356e+00,-1.057171644017932538e-02,0.000000000000000000e+00
9.589999999999999858e+00,6.613838068621728183e+00,8.989070867918229346e-02,1.713661486462160922e-03,-5.432078329137542214e-04,1.194750584900295065e+00,-1.057111964690162116e-02,1.194750584900295065e+00,-1.057111964690162116e-02,0.000000000000000000e+00
9.599999999999999645e+00,6.613870110126651269e+00,8.988951303363436340e-02,1.709435939725315609e-03,-5.410325738957455890e-04,1.194684356410391279e+00,-1.057052015413176109e-02,1.194684356410391279e+00,-1.057052015413176109e-02,0.000000000000000000e+00
